NaN	NaN	NaN	494	540.85	643.62	528.14	580.41	531.75	563.05	499.77	481.18	567.47	535.38	493	536	NaN
526	NaN	1381	458	728.86	547.7	508.87	545.77	571.51	468.45	507.75	536.88	553.73	640	495	358	373
7299	NaN	174	1801.5	639.5	1071.2	798.44	697.92	531.11	521.43	442.62	558.6	NaN	NaN	437.5	NaN	689
NaN	NaN	NaN	3541	1071.6	1345.4	1579.9	1317.7	1011	1274.8	1513.6	1010	2045.2	3459	969.2	NaN	NaN
NaN	2604	611	870.67	701.8	1078.8	862.16	754.79	661.49	616.91	574.39	763.74	615.68	599.75	742.67	NaN	NaN
264	NaN	625	1658	705.4	757.46	756.53	676.32	640.74	545.03	505.88	601.47	852.67	522.5	570	749	743
NaN	7572	1482	3902.5	1405.8	3174.4	2730.1	1672.2	1324.1	962.42	1036.6	1125.6	1061.8	706	1690	NaN	973
NaN	NaN	884	1148.6	947.27	928.22	979.97	872.92	834.56	754.85	755.15	813.77	795.47	890	688.8	643.25	1352
NaN	NaN	NaN	2241	1188.4	1672.7	1036	781.91	815.43	656.76	584.38	701.29	492	583.17	597.5	NaN	NaN
NaN	NaN	NaN	5508.5	2375.6	3182.9	1938.5	1429	1039.6	1162.9	725.65	915.33	410	707.5	865	NaN	461
493	NaN	426.75	778.08	533.25	703.39	446.13	479.82	503.43	389.76	404.1	425.31	411.18	430.67	436.4	362	NaN
NaN	NaN	NaN	856.25	536.14	703.43	568.31	578.23	588.46	526.19	495.23	457.25	407.47	578.43	359	NaN	393
NaN	NaN	NaN	449	991.25	619.4	625.84	594.87	574.33	541.52	552.41	578.06	365	402	NaN	NaN	NaN
NaN	1180.3	541.5	509.67	622.92	637.51	552.78	532.61	529.71	559.37	550.4	472.16	489.96	446.9	614.45	267	NaN
NaN	NaN	NaN	4088.5	1752	1106.2	1183	1094.6	892.73	741.67	725.54	625.95	671.4	2707	440	NaN	NaN
NaN	NaN	NaN	353.33	887.27	770.68	491.98	653.65	548.67	449	398.92	441.95	429	661	433.67	1194	NaN
NaN	NaN	NaN	NaN	1504	1175.1	1243.5	1029.9	859.09	857.02	773.59	658.89	739.8	NaN	897	NaN	NaN
NaN	NaN	2029	1433	1591.3	1817.8	1212.9	1283.9	978.84	822.29	1147.7	794.29	735.22	3231.7	770	NaN	NaN
NaN	NaN	1679	1693.3	1516	1040.5	1077.9	916.61	852.53	704.62	669.9	630.26	742.86	591.83	745.67	509	NaN
NaN	NaN	690	3617	3163.8	1199.2	955.06	1157.4	688.94	632.41	477.12	443.5	532.2	813.33	NaN	NaN	NaN
NaN	NaN	NaN	336.5	416.33	414.83	386.31	417.45	403.26	369.36	426.89	447.2	223	NaN	NaN	NaN	NaN
NaN	6967	NaN	552.5	534	727.86	676.7	596.35	554.75	508.49	523.94	463.33	443.62	750.5	442	NaN	NaN
767	1060	746	592.12	495.69	528.75	578.73	586.95	558.27	500.66	490.5	501.07	515.46	634	443.22	451.33	NaN
4215	1364	613	262.5	1074.4	1493.8	1301.7	888.18	784.39	640.24	599.85	543.47	428	NaN	545	NaN	NaN
NaN	2018	879.5	418	744.33	674.21	615.86	591.85	592.72	549.29	577.23	518.89	445.2	518.8	370	NaN	NaN
9346	NaN	NaN	2544	2762.3	2657.9	1226.6	1129.5	737.4	916.61	609.57	527	457.33	254	NaN	NaN	NaN
